area,mongo_source,mongo_field,mongo_type,supabase_table,supabase_column,supabase_type,transform,notes

### user_accounts — Core user identity. One row per end-user per merchant. Profile / tier FK / persona FK / notification toggles. Admin users are NOT migrated here — they will be re-invited via admin_users.,,,,,,,,

## Area 1: Accounts — loyaltydb.users → user_accounts,,,,,,,,
Accounts,loyaltydb.users,_id,ObjectId,user_accounts,mongo_id,text,direct,Original MongoDB ObjectId for traceability
Accounts,—,—,—,user_accounts,id,uuid,gen_random_uuid(),New Supabase primary key
Accounts,loyaltydb.users,merchantId,ObjectId,user_accounts,merchant_id,uuid,resolve_fk,FK → merchant_master via mongo_id
Accounts,loyaltydb.users,lineUserId,String|Null,user_accounts,line_id,text,direct,
Accounts,loyaltydb.users,phoneNumber,String,user_accounts,tel,text,direct,
Accounts,loyaltydb.users,id_card,String,user_accounts,id_card,text,direct,
Accounts,loyaltydb.users,email,String|Null,user_accounts,email,text,direct,Prefer contacts.email if non-null
Accounts,loyaltydb.users,fullName,String,user_accounts,fullname,text,direct,Fallback; prefer contacts.firstName+lastName
Accounts,loyaltydb.users,avatar,String,user_accounts,image,text,direct,Prefer contacts.imageUrl if non-empty
Accounts,loyaltydb.users,userType,String,user_accounts,user_type,user_type,direct,CUSTOMER→buyer / MERCHANT→seller
Accounts,loyaltydb.users,status,String,user_accounts,user_stage,text,direct,ACTIVE→member / INACTIVE→lead / FREEZE→frozen
Accounts,loyaltydb.users,memberCode,String,user_accounts,external_user_id,text,direct,Legacy member code
Accounts,loyaltydb.users,memberTier.tierId,ObjectId,user_accounts,tier_id,uuid,resolve_fk,FK → tier_master via mongo_id
Accounts,loyaltydb.users,notifSetting.channels.email,Boolean,user_accounts,channel_email,boolean,direct,
Accounts,loyaltydb.users,notifSetting.channels.lineChat,Boolean,user_accounts,channel_line,boolean,direct,
Accounts,loyaltydb.users,createdAt,Date,user_accounts,created_at,timestamptz,direct,

## Area 1: Skipped — loyaltydb.users,,,,,,,,
Accounts,loyaltydb.users,isLoyaltyAdmin,Boolean,,,,skip,Admin users not migrated to user_accounts; will re-invite via admin_users
Accounts,loyaltydb.users,isPosAdmin,Boolean,,,,skip,Admin users not migrated to user_accounts; will re-invite via admin_users
Accounts,loyaltydb.users,isLoyaltyAdminEditor,Boolean,,,,skip,Admin users not migrated
Accounts,loyaltydb.users,isPosAdminEditor,Boolean,,,,skip,Admin users not migrated
Accounts,loyaltydb.users,__v,Number,,,,skip,Mongoose version key
Accounts,loyaltydb.users,contactId,ObjectId,,,,skip,Internal ref; join via users._id
Accounts,loyaltydb.users,updatedAt,Date,,,,skip,No updated_at column
Accounts,loyaltydb.users,lastActive,Date,,,,skip,Derived from activity
Accounts,loyaltydb.users,verifyPhone,Null,,,,skip,Always null
Accounts,loyaltydb.users,staffId,String,,,,skip,No target; consider JSONB
Accounts,loyaltydb.users,studentId,String,,,,skip,No target; consider JSONB
Accounts,loyaltydb.users,signupMethod,String,,,,skip,No target; consider adding for analytics
Accounts,loyaltydb.users,isVerified,Boolean,,,,skip,No target
Accounts,loyaltydb.users,isFreeze,Boolean,,,,skip,Captured via status→user_stage
Accounts,loyaltydb.users,isSocial,Boolean,,,,skip,No target
Accounts,loyaltydb.users,phoneVerified,Boolean,,,,skip,No target
Accounts,loyaltydb.users,emailVerified,Boolean,,,,skip,No target
Accounts,loyaltydb.users,isLinePhone,Boolean,,,,skip,No target
Accounts,loyaltydb.users,isFriendInvite,Boolean,,,,skip,Referral flags
Accounts,loyaltydb.users,isFriendPoint,Boolean,,,,skip,Referral flags
Accounts,loyaltydb.users,friendInviteId,String,,,,skip,Referral data
Accounts,loyaltydb.users,friendInviteType,String,,,,skip,Referral data
Accounts,loyaltydb.users,isSellerInvite,Boolean,,,,skip,Referral data
Accounts,loyaltydb.users,isSellerPoint,Boolean,,,,skip,Referral data
Accounts,loyaltydb.users,sellerInviteId,String,,,,skip,Referral data
Accounts,loyaltydb.users,sellerInviteType,String,,,,skip,Referral data
Accounts,loyaltydb.users,loginDate[],Array[Date],,,,skip,No target
Accounts,loyaltydb.users,trafficSourceIds[],Array[ObjectId],,,,skip,Not migrated
Accounts,loyaltydb.users,storeIds[],Array,,,,skip,Empty
Accounts,loyaltydb.users,adminAuthorizationChangeClientNameList[],Array,,,,skip,Empty
Accounts,loyaltydb.users,areaPosOperationsIds[],Array,,,,skip,Empty
Accounts,loyaltydb.users,areaOperationsIds[],Array,,,,skip,Empty
Accounts,loyaltydb.users,pointSnapShotByMonth[],Array[Document],,,,skip,Derive from wallet_ledger
Accounts,loyaltydb.users,memberTier.tierName,String,,,,skip,Denormalized; on tier_master
Accounts,loyaltydb.users,memberTier.iconUrl,String,,,,skip,Denormalized; on tier_master
Accounts,loyaltydb.users,memberTier.sum,Null,,,,skip,Always null
Accounts,loyaltydb.users,memberTier.memberCurrentMaintainTierDate,Null,,,,skip,Always null
Accounts,loyaltydb.users,memberTier._id,ObjectId,,,,skip,Subdocument ID
Accounts,loyaltydb.users,notifSetting.channels.adminPanel,Boolean,,,,skip,Admin UI preference
Accounts,loyaltydb.users,notifSetting._id,ObjectId,,,,skip,Subdocument ID
Accounts,loyaltydb.users,roleId,ObjectId,,,,skip,Legacy RBAC; rebuilt in new system

## Area 1: Accounts — loyaltydb.contacts → user_accounts,,,,,,,,
Accounts,loyaltydb.contacts,firstName,String,user_accounts,firstname,text,direct,Primary source
Accounts,loyaltydb.contacts,lastName,String,user_accounts,lastname,text,direct,Primary source
Accounts,loyaltydb.contacts,fullName,String,user_accounts,fullname,text,direct,Primary source for display name
Accounts,loyaltydb.contacts,imageUrl,String,user_accounts,image,text,direct,Prefer over users.avatar
Accounts,loyaltydb.contacts,phoneNumber,String,user_accounts,tel,text,direct,Prefer non-empty
Accounts,loyaltydb.contacts,email,String|Null,user_accounts,email,text,direct,Prefer non-null
Accounts,loyaltydb.contacts,dateOfBirth,Date|Null,user_accounts,birth_date,date,direct,Strip time component
Accounts,loyaltydb.contacts,gender,String|Null,user_accounts,gender,text,direct,
Accounts,loyaltydb.contacts,id_card,String,user_accounts,id_card,text,direct,Prefer non-empty
Accounts,loyaltydb.contacts,memberTierId,ObjectId,user_accounts,tier_id,uuid,resolve_fk,FK → tier_master via mongo_id; prefer over users.memberTier.tierId
Accounts,loyaltydb.contacts,memberTypeGroupNameId,String|Null,user_accounts,persona_id,uuid,resolve_fk,FK → persona_group_master
Accounts,loyaltydb.contacts,memberTypeNameId,String|Null,user_accounts,type_id,uuid,resolve_fk,FK → persona_master
Accounts,loyaltydb.contacts,thirdPartyUserId,String,user_accounts,marketplace_external_ids,jsonb,jsonb,Store as {"tiktok": "value"}
Accounts,loyaltydb.contacts,shopeeUserId,String,user_accounts,marketplace_external_ids,jsonb,jsonb,Merge as {"shopee": "value"}

## Area 1: Skipped — loyaltydb.contacts,,,,,,,,
Accounts,loyaltydb.contacts,_id,ObjectId,,,,skip,Contact doc ID; user identity from users._id
Accounts,loyaltydb.contacts,userId,ObjectId,,,,skip,FK back to users._id; used for join only
Accounts,loyaltydb.contacts,__v,Number,,,,skip,Mongoose version key
Accounts,loyaltydb.contacts,createdAt,Date,,,,skip,Use users.createdAt
Accounts,loyaltydb.contacts,updatedAt,Date,,,,skip,No target
Accounts,loyaltydb.contacts,status,String,,,,skip,Duplicate of users.status
Accounts,loyaltydb.contacts,lineUserId,String|Null,,,,skip,Duplicate of users.lineUserId
Accounts,loyaltydb.contacts,isLinePhone,Boolean,,,,skip,No target
Accounts,loyaltydb.contacts,isFreeze,Boolean,,,,skip,Covered via users.status
Accounts,loyaltydb.contacts,merchantId,ObjectId,,,,skip,Duplicate of users.merchantId
Accounts,loyaltydb.contacts,staffId,String,,,,skip,No target
Accounts,loyaltydb.contacts,studentId,String,,,,skip,No target
Accounts,loyaltydb.contacts,sellerId,String,,,,skip,No target
Accounts,loyaltydb.contacts,memberChannelId,String,,,,skip,No target
Accounts,loyaltydb.contacts,memberStoreId,String,,,,skip,No target
Accounts,loyaltydb.contacts,trafficName,String,,,,skip,Not migrated
Accounts,loyaltydb.contacts,trafficId,ObjectId|Null,,,,skip,Not migrated
Accounts,loyaltydb.contacts,registerAt,Date|Null,,,,skip,Use users.createdAt
Accounts,loyaltydb.contacts,memberTierName,String,,,,skip,Denormalized
Accounts,loyaltydb.contacts,memberPreviousTierId,ObjectId|Null,,,,skip,Historical; in tier_change_ledger
Accounts,loyaltydb.contacts,memberPreviousTierName,String|Null,,,,skip,Denormalized
Accounts,loyaltydb.contacts,memberNextTierName,String,,,,skip,Denormalized
Accounts,loyaltydb.contacts,memberNextScheduledDowngradeDate,Null,,,,skip,Always null
Accounts,loyaltydb.contacts,memberTierColor,String,,,,skip,Denormalized
Accounts,loyaltydb.contacts,memberTypeApplyDate,Null,,,,skip,Always null
Accounts,loyaltydb.contacts,memberTypeExpireDate,Null,,,,skip,Always null
Accounts,loyaltydb.contacts,address._id,ObjectId,,,,skip,Subdocument ID
Accounts,loyaltydb.contacts,fullAddress,String,,,,skip,Concatenated; reconstruct from parts
Accounts,loyaltydb.contacts,staffArea,String,,,,skip,No target
Accounts,loyaltydb.contacts,memberTypeId,String,,,,skip,Possibly deprecated
Accounts,loyaltydb.contacts,customFields[].displayName,String,,,,skip,Denormalized; on form_fields
Accounts,loyaltydb.contacts,customFields[].fieldName,String,,,,skip,Denormalized; on form_fields
Accounts,loyaltydb.contacts,customFields[]._id,ObjectId,,,,skip,Subdocument ID
Accounts,loyaltydb.contacts,surveyQuestions[].questionId,ObjectId,,,,skip,No direct FK
Accounts,loyaltydb.contacts,surveyQuestions[].isAnswer,Boolean,,,,skip,Implied by answer presence
Accounts,loyaltydb.contacts,surveyQuestions[]._id,ObjectId,,,,skip,Subdocument ID
Accounts,loyaltydb.contacts,memberTypeQuestion[],Array[Document],,,,skip,Deprecated
Accounts,loyaltydb.contacts,surveyNewAnswer[],Array,,,,skip,Empty
Accounts,loyaltydb.contacts,contactNotes[],Array,,,,skip,Empty
Accounts,loyaltydb.contacts,leaderboardJoin[],Array,,,,skip,Separate
Accounts,loyaltydb.contacts,eventActivitiesJoin[],Array,,,,skip,Separate
Accounts,loyaltydb.contacts,lastLoginDate,Date|Null,,,,skip,Derived
Accounts,loyaltydb.contacts,lastActivityDate,Date|Null,,,,skip,Derived
Accounts,loyaltydb.contacts,lastRewardUsedDate,Date|Null,,,,skip,Aggregate from ledger
Accounts,loyaltydb.contacts,totalRewardUsed,Number,,,,skip,Aggregate from ledger
Accounts,loyaltydb.contacts,lastBenefitUsedDate,Date|Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,totalBenefitUsed,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,lastLuckDrawUsedDate,Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,totalLuckDrawUsed,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,lastCouponUsedDate,Date|Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,totalCouponUsed,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,couponBalance,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,lastCouponCollectDate,Date|Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,totalSaleAmount,Number,,,,skip,Aggregate from purchase_ledger
Accounts,loyaltydb.contacts,lastSaleAmount,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,lastSaleDate,Date|Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,avgSaleAmountPerOrder,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,totalOrder,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,pointBalance,Number,,,,skip,Migrated via crm_wallet_db
Accounts,loyaltydb.contacts,totalPointCollect,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,lastPointCollectDate,Date|Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,lastPointUsedDate,Date|Null,,,,skip,Aggregate
Accounts,loyaltydb.contacts,totalPointUsed,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,importSaleAmount,Number,,,,skip,Aggregate
Accounts,loyaltydb.contacts,loyaltyGiveSaleAmount,Number,,,,skip,Aggregate

## Area 1: Accounts — crm_user_db.users → user_accounts (fallback only),,,,,,,,
Accounts,crm_user_db.users,type,String,user_accounts,user_type,user_type,direct,CUSTOMER→buyer / MERCHANT→seller; fallback
Accounts,crm_user_db.users,first_name,String,user_accounts,firstname,text,direct,Fallback if contacts missing
Accounts,crm_user_db.users,last_name,String,user_accounts,lastname,text,direct,Fallback
Accounts,crm_user_db.users,display_name,String,user_accounts,fullname,text,direct,Fallback
Accounts,crm_user_db.users,tier.id,String,user_accounts,tier_id,uuid,resolve_fk,FK → tier_master; fallback
Accounts,crm_user_db.users,is_special_condition,Boolean,user_accounts,tier_lock_downgrade,boolean,direct,Special condition = tier lock
Accounts,crm_user_db.users,member_code,String,user_accounts,external_user_id,text,direct,Fallback

## Area 1: Skipped — crm_user_db.users,,,,,,,,
Accounts,crm_user_db.users,_id,ObjectId,,,,skip,Microservice copy; use loyaltydb.users._id
Accounts,crm_user_db.users,merchant_id,String,,,,skip,Duplicate
Accounts,crm_user_db.users,phone_number,String,,,,skip,Duplicate
Accounts,crm_user_db.users,middle_name,Null,,,,skip,Always null
Accounts,crm_user_db.users,tags,Null,,,,skip,Always null
Accounts,crm_user_db.users,tier.name,String,,,,skip,Denormalized
Accounts,crm_user_db.users,tier.settings.is_apply_up_tier_condition,Boolean,,,,skip,Tier config; on tier_master
Accounts,crm_user_db.users,tier.settings.is_apply_down_tier_condition,Boolean,,,,skip,Tier config; on tier_master

## Area 1: Accounts — user_accounts columns with no MongoDB source,,,,,,,,
Accounts,—,—,—,user_accounts,auth_user_id,uuid,default,null; end-users use custom auth (auth_user_id = id)
Accounts,—,—,—,user_accounts,channel_sms,boolean,default,false
Accounts,—,—,—,user_accounts,channel_push,boolean,default,true
Accounts,—,—,—,user_accounts,is_signup_form_complete,boolean,derive,true if contacts.customFields non-empty
Accounts,—,—,—,user_accounts,role,role,default,'user' for all migrated end-users

### user_address — Structured Thai postal address. Province/district/subdistrict codes linked to geo reference tables.,,,,,,,,

## Area 1: Accounts — loyaltydb.contacts.address → user_address,,,,,,,,
Accounts,loyaltydb.contacts,address.address,String,user_address,addressline_1,text,direct,Free-text address line
Accounts,loyaltydb.contacts,address.province,String,user_address,province_code,varchar,direct,Numeric code (e.g. "1")
Accounts,loyaltydb.contacts,address.province,String,user_address,state,text,resolve_lookup,Look up name from address_th_province.name_th
Accounts,loyaltydb.contacts,address.district,String,user_address,district_code,varchar,direct,Numeric code (e.g. "18")
Accounts,loyaltydb.contacts,address.district,String,user_address,district,text,resolve_lookup,Look up name from address_th_district.name_th
Accounts,loyaltydb.contacts,address.subDistrict,String,user_address,subdistrict_code,varchar,direct,Numeric code (e.g. "120")
Accounts,loyaltydb.contacts,address.subDistrict,String,user_address,subdistrict,text,resolve_lookup,Look up name from address_th_subdistrict.name_th
Accounts,loyaltydb.contacts,address.postCode,String,user_address,postcode,text,direct,

## Area 1: Accounts — user_address columns with no MongoDB source,,,,,,,,
Accounts,—,—,—,user_address,code,smallint,generate,Address sequence per user (start at 1)
Accounts,—,—,—,user_address,city,text,derive,From province code lookup or null
Accounts,—,—,—,user_address,country_code,text,default,'TH'
Accounts,—,—,—,user_address,addressline_2,text,default,null

### tier_progress — Current tier standing snapshot. Tracks upgrade/maintain progress and deadlines.,,,,,,,,

## Area 1: Accounts — loyaltydb.users.memberTier + contacts tier fields → tier_progress,,,,,,,,
Accounts,loyaltydb.users,memberTier.initDate,Date,tier_progress,created_at,timestamptz,direct,When tier was assigned
Accounts,loyaltydb.contacts,memberNextTierId,ObjectId|Null,tier_progress,next_tier_id,uuid,resolve_fk,FK → tier_master via mongo_id
Accounts,loyaltydb.contacts,memberDowngradeThreshold,Number,tier_progress,maintain_progress,numeric,cast::numeric,Progress toward maintain threshold
Accounts,loyaltydb.contacts,memberLastChangeTierDate,Date|Null,tier_progress,updated_at,timestamptz,direct,
Accounts,loyaltydb.contacts,memberCurrentMaintainTierDate,Date|Null,tier_progress,maintain_deadline,date,direct,

## Area 1: Accounts — tier_progress columns with no MongoDB source,,,,,,,,
Accounts,—,—,—,tier_progress,current_tier_id,uuid,derive,Same as user_accounts.tier_id
Accounts,—,—,—,tier_progress,upgrade_metric_needed,metric,derive,From tier_master configuration (points/ticket/sales/orders)
Accounts,—,—,—,tier_progress,maintain_metric_needed,metric,derive,From tier_master configuration (points/ticket/sales/orders)
Accounts,—,—,—,tier_progress,upgrade_progress_percent,numeric,derive,accumulativePoints / upgradeThreshold × 100
Accounts,—,—,—,tier_progress,upgrade_deadline,date,derive,From tier rules configuration
Accounts,—,—,—,tier_progress,merchant_id,uuid,derive,Same as user_accounts.merchant_id

## Area 1: Skipped — tier_progress source fields,,,,,,,,
Accounts,loyaltydb.users,memberTier.initPoint,Number,,,,skip,Used in upgrade_progress_percent calculation only
Accounts,loyaltydb.users,memberTier.accumulativePoints,Number,,,,skip,Used in upgrade_progress_percent calculation only
Accounts,loyaltydb.users,memberTier.bahtSpent,Number,,,,skip,Spending metric; used in derive only
Accounts,loyaltydb.contacts,memberUpgradeThreshold,Number,,,,skip,Used in upgrade_progress_percent calculation only

### user_communication_preferences — Per-topic notification opt-in/out.,,,,,,,,

## Area 1: Accounts — loyaltydb.users.notifSetting.events → user_communication_preferences,,,,,,,,
Accounts,loyaltydb.users,notifSetting.events[],Array[String],user_communication_preferences,topic_id,uuid,normalize,Each event string → one row; requires topic_id lookup

### form_submissions + form_responses — Normalized form system for custom fields.,,,,,,,,

## Area 1: Accounts — loyaltydb.contacts.customFields[] → form_submissions + form_responses,,,,,,,,
Accounts,loyaltydb.contacts,customFields[],Array[Document],form_submissions,—,—,normalize,One submission per user linked to USER_PROFILE form
Accounts,loyaltydb.contacts,customFields[].contactCustomFieldId,ObjectId,form_responses,field_id,uuid,resolve_fk,FK → form_fields via mongo_id
Accounts,loyaltydb.contacts,customFields[].answers,String|Number,form_responses,text_value,text,direct,Single answer value; cast Number→text

### survey_answers — Survey question+answer pairs.,,,,,,,,

## Area 1: Accounts — loyaltydb.contacts.surveyQuestions[] → survey_answers,,,,,,,,
Accounts,loyaltydb.contacts,surveyQuestions[].propertyName,String,survey_answers,question_code,text,direct,
Accounts,loyaltydb.contacts,surveyQuestions[].question,String,survey_answers,question_text,text,direct,
Accounts,loyaltydb.contacts,surveyQuestions[].answers[],Array[String],survey_answers,answer,jsonb,jsonb,Multi-select → JSONB array
Accounts,loyaltydb.contacts,surveyQuestions[].freeTextAnswer,String,survey_answers,answer_1,text,direct,
Accounts,loyaltydb.contacts,surveyQuestions[].starPointAnswer,String,survey_answers,answer_2,text,direct,Star rating

### user_wallet — Current currency balance. Live points_balance and ticket_balance.,,,,,,,,

## Area 2: Points Balance — crm_wallet_db.wallets → user_wallet,,,,,,,,
Points Balance,crm_wallet_db.wallets,_id,ObjectId,user_wallet,mongo_id,text,direct,Original MongoDB ObjectId
Points Balance,—,—,—,user_wallet,id,uuid,gen_random_uuid(),New Supabase primary key
Points Balance,crm_wallet_db.wallets,merchant_id,String,user_wallet,merchant_id,uuid,resolve_fk,FK → merchant_master via mongo_id
Points Balance,crm_wallet_db.wallets,user_id,String,user_wallet,user_id,uuid,resolve_fk,FK → user_accounts via mongo_id
Points Balance,crm_wallet_db.wallets,point_balance,Number,user_wallet,points_balance,integer,direct,
Points Balance,crm_wallet_db.wallets,created_at,Date,user_wallet,created_at,timestamptz,direct,
Points Balance,crm_wallet_db.wallets,ticket_ids,Array,user_wallet,ticket_balance,integer,derive,Count of array → balance; empty in samples
Points Balance,—,—,—,user_wallet,ticket_balance,integer,default,0

## Area 2: Skipped — crm_wallet_db.wallets,,,,,,,,
Points Balance,crm_wallet_db.wallets,updated_at,Date,,,,skip,No updated_at; balance is live

### wallet_ledger — Immutable point transaction log. Every earn / burn is one row.,,,,,,,,

## Area 3: Points History — loyaltydb.points → wallet_ledger,,,,,,,,
Points History,loyaltydb.points,_id,ObjectId,wallet_ledger,mongo_id,text,direct,Original MongoDB ObjectId
Points History,—,—,—,wallet_ledger,id,uuid,gen_random_uuid(),New Supabase primary key
Points History,loyaltydb.points,merchantId,ObjectId,wallet_ledger,merchant_id,uuid,resolve_fk,FK → merchant_master via mongo_id
Points History,loyaltydb.points,userId,ObjectId,wallet_ledger,user_id,uuid,resolve_fk,FK → user_accounts via mongo_id
Points History,loyaltydb.points,point,Number,wallet_ledger,amount,integer,direct,Absolute value
Points History,loyaltydb.points,point,Number,wallet_ledger,signed_amount,integer,derive,If type=DEDUCT → negative
Points History,loyaltydb.points,balance,Number,wallet_ledger,balance_after,integer,direct,
Points History,loyaltydb.points,sale,Number,wallet_ledger,metadata,jsonb,jsonb,{"sale_amount": value}
Points History,loyaltydb.points,type,String,wallet_ledger,transaction_type,currency_transaction_type,direct,GIVEN→earn / DEDUCT→burn / EXPIRED→burn (store original in metadata)
Points History,loyaltydb.points,expiredDate,Number,wallet_ledger,expiry_date,date,epoch→timestamptz,Epoch ms; -1 means no expiry → null
Points History,loyaltydb.points,giveFrom,String,wallet_ledger,source_type,wallet_transaction_source_type,direct,SALE→purchase / ADMIN→manual
Points History,loyaltydb.points,productOrderId,String,wallet_ledger,source_id,uuid,resolve_fk,Order reference; if null use record's own id
Points History,loyaltydb.points,note,String,wallet_ledger,description,text,direct,
Points History,loyaltydb.points,referenceId,String,wallet_ledger,reference_id,uuid,resolve_fk,If UUID-shaped; else store in metadata
Points History,loyaltydb.points,createdAt,Date,wallet_ledger,created_at,timestamptz,direct,
Points History,loyaltydb.points,imageUrl,String,wallet_ledger,metadata,jsonb,jsonb,{"image_url": value}
Points History,loyaltydb.points,merchantUserId,ObjectId|Null,wallet_ledger,created_by,text,direct,Admin who performed action (as text)

## Area 3: Skipped — loyaltydb.points,,,,,,,,
Points History,loyaltydb.points,__v,Number,,,,skip,Mongoose version key
Points History,loyaltydb.points,updatedAt,Date,,,,skip,No target
Points History,loyaltydb.points,orderCode,String|Null,,,,skip,Redundant with productOrderId
Points History,loyaltydb.points,lastSaleDate,Date,,,,skip,Denormalized
Points History,loyaltydb.points,imageUrlList[],Array[String],,,,skip,In metadata via imageUrl

## Area 3: Points History — crm_point_db.point_transactions → wallet_ledger,,,,,,,,
Points History,crm_point_db.point_transactions,_id,ObjectId,wallet_ledger,mongo_id,text,direct,Original MongoDB ObjectId (prefix with 'crm_point:' to avoid collision)
Points History,—,—,—,wallet_ledger,id,uuid,gen_random_uuid(),New Supabase primary key
Points History,crm_point_db.point_transactions,merchant_id,String,wallet_ledger,merchant_id,uuid,resolve_fk,FK → merchant_master via mongo_id
Points History,crm_point_db.point_transactions,user_id,String,wallet_ledger,user_id,uuid,resolve_fk,FK → user_accounts via mongo_id
Points History,crm_point_db.point_transactions,summary_point,Number,wallet_ledger,amount,integer,direct,
Points History,crm_point_db.point_transactions,summary_point,Number,wallet_ledger,signed_amount,integer,derive,DEDUCTED → negative
Points History,crm_point_db.point_transactions,deductible_balance,Number,wallet_ledger,deductible_balance,numeric,direct,
Points History,crm_point_db.point_transactions,type,String,wallet_ledger,transaction_type,currency_transaction_type,direct,EARNED→earn / DEDUCTED→burn / VOIDED→burn (store original in metadata)
Points History,crm_point_db.point_transactions,expired_at,Date|Null,wallet_ledger,expiry_date,date,direct,
Points History,crm_point_db.point_transactions,source,String,wallet_ledger,source_type,wallet_transaction_source_type,direct,SYSTEM→manual / CRM_USER→manual
Points History,crm_point_db.point_transactions,channel,String,wallet_ledger,metadata,jsonb,jsonb,{"channel": "RECEIPT_UPLOADED"}
Points History,crm_point_db.point_transactions,reference_id,String,wallet_ledger,reference_id,uuid,resolve_fk,
